alpha_score,composite_score,computed_at,dii_1yr,dii_quarter,ev_ebitda,ev_sales,fii_1yr,fii_quarter,final_score,future_pe,future_peg,future_return,g_score,growth_score,index_group,irs_pct,irs_raw,loss_profit_qoq,loss_profit_ttm,loss_profit_yoy,market,market_cap_b,net_profit_ttm_1yr_growth,net_profit_yoy_growth,pb_ratio,pe_ratio,qoq_profit_growth,qoq_sales_growth,qtr_beta,qtr_std,rebalance_date,return_1yr,return_2yr,return_3m,return_6m,return_score,revenue_b,risk_eff_score,risk_score,sales_ttm_1yr_growth,sales_yoy_growth,sector,stocks_list,strategy_stocks,sub_sector,ticker,ttm_peg,ttm_revenue_b,valuation_score,yr_beta,yr_std
,3.5,2026-06-10T03:00:34.115296+00:00,,,17.82,4.58,,,,26.63,9.51,,1.0,-1.0,SP500,65.0,6.0,True,False,False,US,,2.8,7.1,11.34,25.9,-3.0,4.2,0.6626,33.56,,56.32,122.35,26.72,,3.0,,5.0,2.5,7.9,19.5,Consumer Cyclical,,,Internet Retail,EBAY,9.25,,-1.0,0.7979,38.61
,-5.0,2026-06-10T03:00:34.115413+00:00,,,20.3,4.99,,,,34.99,-20.58,,-5.5,-2.5,SP500,38.75,-4.5,True,True,False,US,,-1.7,7.8,7.32,35.6,-23.3,-3.1,0.9378,24.3,,-0.51,17.43,-14.01,-4.1,-2.0,,1.0,0.5,2.2,10.0,Basic Materials,,,Specialty Chemicals,ECL,-20.94,,-1.0,0.6674,20.23
,-3.5,2026-06-10T03:00:34.11556+00:00,,,12.84,3.94,,,,31.47,3.38,,-6.0,0,SP500,47.5,-1.0,True,False,False,US,,9.3,34.0,4.3,28.79,-2.4,6.3,0.6171,34.74,,-37.06,-27.83,-20.76,-21.1,-4.0,,5.0,2.5,6.9,14.3,Industrials,,,Consulting Services,EFX,3.1,,-2.0,0.8319,35.04
,2.5,2026-06-10T03:00:34.115705+00:00,,,8.31,3.63,,,,23.69,0.12,,3.0,0.5,SP500,55.0,2.0,True,False,True,US,,204.1,-63.2,1.57,7.79,-70.4,-21.3,0.3546,22.57,,33.24,6.26,-4.42,24.16,0.5,,-1.0,-0.5,9.8,7.7,Utilities,,,Utilities - Regulated Electric,EIX,0.04,,2.0,0.3293,25.84
,1.5,2026-06-10T03:00:34.115849+00:00,,,9.39,0.4,,,,15.71,-2.96,,0.0,-2.5,SP500,57.5,3.0,False,True,True,US,,-5.3,-16.8,1.94,16.59,222.5,0.9,0.3466,32.56,,5.42,-19.51,34.38,20.48,0.5,,3.0,1.5,12.6,2.6,Healthcare,,,Healthcare Plans,ELV,-3.13,,2.0,0.386,38.27
,5.5,2026-06-10T03:00:34.115939+00:00,,,20.16,2.1,,,,36.31,1.38,,5.5,2.5,SP500,63.75,5.5,True,False,False,US,,26.4,30.0,9.75,28.73,-29.7,2.6,1.4951,35.87,,81.54,116.32,15.37,39.75,4.0,,0.0,0,16.6,19.7,Industrials,,,Engineering & Construction,EME,1.09,,-1.0,1.6922,38.0
,-4.5,2026-06-10T03:00:34.116028+00:00,,,15.61,5.01,,,,38.24,2.32,,-4.0,-1.5,SP500,37.5,-5.0,False,False,False,US,,16.5,27.9,3.91,32.82,2.1,5.0,1.9593,36.54,,20.16,32.24,-6.39,8.31,-0.5,,-1.0,-0.5,3.0,2.9,Industrials,,,Specialty Industrial Machinery,EMR,1.99,,-2.0,1.608,29.93
,2.0,2026-06-10T03:00:34.116115+00:00,,,6.05,3.23,,,,10.28,-0.46,,2.5,-1.0,SP500,53.75,1.5,False,True,False,US,,-22.2,39.6,2.33,13.21,182.5,19.5,-1.1646,30.44,,26.84,17.84,5.42,24.8,1.5,,-1.0,-0.5,-3.4,15.6,Energy,,,Oil & Gas E&P,EOG,-0.6,,2.0,-0.3169,26.18
,-2.0,2026-06-10T03:00:34.116202+00:00,,,6.22,0.82,,,,12.12,-0.72,,-2.5,-0.5,SP500,46.25,-1.5,True,True,False,US,,-16.9,18.8,1.56,14.59,-24.5,-0.5,-0.2621,37.79,,-41.63,-43.15,-27.11,-46.73,-4.0,,1.0,0.5,15.4,7.6,Technology,,,Information Technology Services,EPAM,-0.86,,2.0,1.0186,43.79
,1.0,2026-06-10T03:00:34.116291+00:00,,,29.77,13.38,,,,122.64,1.87,,1.0,1.5,SP500,52.5,1.0,False,False,False,US,,65.6,20.0,7.38,74.06,56.6,1.0,0.5898,17.8,,23.25,46.88,11.24,47.36,2.5,,0.0,0,5.4,12.1,Real Estate,,,REIT - Specialty,EQIX,1.13,,-3.0,0.4522,26.06
,-5.0,2026-06-10T03:00:34.116421+00:00,,,17.86,10.86,,,,28.88,3.57,,-4.0,-3.0,SP500,35.0,-6.0,True,False,True,US,,8.1,-64.6,2.27,26.72,-76.4,-0.3,0.3087,20.03,,-1.07,13.43,6.23,10.36,0,,-2.0,-1.0,3.8,2.5,Real Estate,,,REIT - Residential,EQR,3.3,,-1.0,0.312,19.94
,3.5,2026-06-10T03:00:34.116517+00:00,,,5.73,4.69,,,,92.86,0.12,,3.5,4.0,SP500,58.75,3.5,False,False,False,US,,500.0,490.0,1.38,10.5,119.6,59.1,-0.2243,28.05,,1.14,39.74,-9.95,-8.03,-1.0,,0.0,0,60.0,49.9,Energy,,,Oil & Gas E&P,EQT,0.01,,0.5,0.171,32.75
,-5.0,2026-06-10T03:00:34.116609+00:00,,,13.51,2.73,,,,18.85,-2.77,,-5.0,-3.0,SP500,37.5,-5.0,False,True,False,US,,-6.8,8.7,4.85,20.22,137.4,269.9,-0.0037,33.93,,-37.53,-38.79,-17.73,-24.91,-4.0,,0.0,0,7.4,2.3,Financial Services,,,Insurance Brokers,ERIE,-2.97,,2.0,-0.0227,29.99
,-3.5,2026-06-10T03:00:34.116759+00:00,,,19.37,12.6,,,,28.15,-2.9,,-2.5,-2.5,SP500,38.75,-4.5,False,True,True,US,,-9.7,-47.8,3.27,31.17,31.8,1.1,0.3404,19.33,,1.93,17.67,9.14,8.44,0,,-2.0,-1.0,6.4,6.4,Real Estate,,,REIT - Residential,ESS,-3.21,,0,0.3552,20.75
,-2.0,2026-06-10T03:00:34.116853+00:00,,,27.94,6.21,,,,42.44,5.51,,-2.0,-0.5,SP500,45.0,-2.0,True,False,True,US,,7.7,-9.4,7.91,39.41,-23.5,5.6,1.4773,38.76,,25.18,23.78,7.13,19.02,1.5,,0.0,0,10.3,16.8,Industrials,,,Specialty Industrial Machinery,ETN,5.12,,-3.0,1.5443,31.99
,3.5,2026-06-10T03:00:34.116942+00:00,,,14.75,6.09,,,,46.6,0.69,,4.0,1.0,SP500,57.5,3.0,False,False,False,US,,67.1,1.2,2.89,27.89,62.5,7.7,0.1237,24.86,,36.51,117.62,3.37,17.29,2.5,,-1.0,-0.5,9.0,12.0,Utilities,,,Utilities - Regulated Electric,ETR,0.42,,0.5,0.335,19.41
,-2.0,2026-06-10T03:00:34.117031+00:00,,,12.56,5.8,,,,21.94,-10.97,,0.0,-2.5,SP500,40.0,-4.0,False,True,False,US,,-2.0,18.5,1.88,22.39,79.7,7.7,0.1102,17.49,,29.58,70.21,0.28,11.56,1.5,,-4.0,-2.0,2.0,5.0,Utilities,,,Utilities - Regulated Electric,EVRG,-11.2,,1.0,0.0778,15.67
,-3.5,2026-06-10T03:00:34.117172+00:00,,,11.78,3.92,,,,19.06,1.52,,-1.5,-1.5,SP500,36.25,-5.5,False,False,True,US,,12.5,-0.3,1.59,16.94,54.7,33.8,-0.0719,19.57,,7.06,34.37,-7.3,0.61,-1.0,,-4.0,-2.0,5.3,7.9,Utilities,,,Utilities - Regulated Electric,EXC,1.36,,1.0,-0.1107,18.07
,-0.5,2026-06-10T03:00:34.11726+00:00,,,3.4,1.95,,,,-17.56,0.05,,-0.5,1.0,SP500,48.75,-0.5,False,True,False,US,,-354.8,,1.15,6.89,109.6,31.7,-0.3445,27.48,,-16.5,10.86,-12.74,-22.13,-3.5,,0.0,0,188.8,41.0,Energy,,,Oil & Gas E&P,EXE,-0.02,,2.0,0.0498,31.87
,-1.0,2026-06-10T03:00:34.11737+00:00,,,17.62,1.79,,,,26.1,,,-2.0,-2.5,SP500,50.0,0.0,False,False,False,US,,0.0,16.3,9.19,26.1,14.4,-2.6,0.0907,28.64,,42.05,38.22,9.15,8.54,1.5,,2.0,1.0,4.4,4.4,Industrials,,,Integrated Freight & Logistics,EXPD,,,-1.0,0.5717,30.37
,0.5,2026-06-10T03:00:34.117468+00:00,,,10.58,1.81,,,,20.98,4.28,,1.0,-0.5,SP500,50.0,0.0,True,False,False,US,,4.9,,47.41,20.0,-102.9,-3.4,0.6663,49.25,,38.16,108.46,6.94,-11.94,1.5,,-1.0,-0.5,7.6,14.7,Consumer Cyclical,,,Travel Services,EXPE,4.08,,0,1.3513,46.56
,-3.5,2026-06-10T03:00:34.117556+00:00,,,19.91,13.08,,,,37.02,2.64,,-5.0,-2.0,SP500,45.0,-2.0,True,False,True,US,,14.0,-10.6,2.31,32.47,-16.2,-0.2,0.9857,24.08,,1.2,14.88,-3.37,13.16,0,,3.0,1.5,3.7,3.8,Real Estate,,,REIT - Industrial,EXR,2.32,,-3.0,0.5333,24.61
,-2.0,2026-06-10T03:00:34.117699+00:00,,,7.34,5.15,,,,97.85,-1.95,,-2.0,-1.5,SP500,45.0,-2.0,True,True,True,US,,-50.1,-98.4,1.5,196.1,-101.7,26.0,-1.0409,32.25,,44.51,5.32,9.73,25.75,1.5,,0.0,0,35.4,4.2,Energy,,,Oil & Gas E&P,FANG,-3.91,,-2.0,-0.2198,30.75
,-1.0,2026-06-10T03:00:34.11779+00:00,,,27.28,6.1,,,,43.33,4.61,,-2.0,0,SP500,50.0,0.0,False,False,False,US,,9.4,13.8,12.88,39.61,15.6,8.6,0.729,26.92,,10.92,44.96,-2.87,12.7,1.0,,2.0,1.0,8.7,12.4,Industrials,,,Industrial Distribution,FAST,4.21,,-3.0,0.6447,24.58
,-3.5,2026-06-10T03:00:34.117992+00:00,,,11.59,4.29,,,,39.22,2.35,,0.5,0.5,SP500,31.25,-7.5,False,False,False,US,,16.7,153.1,4.85,33.61,117.0,10.7,2.7866,55.6,,70.73,28.09,-3.33,53.66,2.0,,-8.0,-4.0,1.8,8.8,Basic Materials,,,Copper,FCX,2.01,,-2.0,2.0705,47.3
,-2.0,2026-06-10T03:00:34.118096+00:00,,,10.96,4.15,,,,17.1,1.53,,-3.5,-1.5,SP500,48.75,-0.5,True,False,True,US,,11.2,-4.5,4.11,15.38,-12.8,0.6,-0.0711,43.71,,-47.94,-41.42,,,-2.0,,3.0,1.5,5.4,7.1,Financial Services,,,Financial Data & Stock Exchanges,FDS,1.37,,0,0.295,39.39
,5.5,2026-06-10T03:00:34.118187+00:00,,,11.42,1.44,,,,20.77,-3.78,,2.5,-2.5,SP500,71.25,8.5,False,True,False,US,,-5.5,17.3,3.3,21.98,10.5,2.3,1.2169,34.43,,90.93,75.17,6.67,51.89,3.5,,6.0,3.0,0.3,8.3,Industrials,,,Integrated Freight & Logistics,FDX,-4.0,,1.5,1.0016,28.11
,4.0,2026-06-10T03:00:34.118381+00:00,,,22.64,6.34,,,,38.92,1.75,,1.0,-0.5,SP500,67.5,7.0,True,False,False,US,,22.2,4.0,6.16,31.85,-17.9,-1.3,0.5476,33.73,,36.65,127.92,37.92,60.72,3.5,,6.0,3.0,9.7,11.0,Technology,,,Software - Infrastructure,FFIV,1.43,,-2.0,1.0132,33.11
,-3.5,2026-06-10T03:00:34.118486+00:00,,,28.8,14.85,,,,51.46,1.9,,-2.5,3.0,SP500,38.75,-4.5,False,False,False,US,,27.1,69.0,,40.49,67.0,35.1,0.5613,63.1,,-23.06,-4.42,-7.9,-26.7,-3.0,,-2.0,-1.0,15.9,38.7,Technology,,,Software - Application,FICO,1.49,,-2.5,0.8057,49.87
,0.0,2026-06-10T03:00:34.118577+00:00,,,12.76,3.69,,,,2.15,-0.03,,-1.0,1.0,SP500,52.5,1.0,False,True,False,US,,-73.7,3040.6,1.37,8.18,363.9,17.2,-0.047,34.71,,-44.67,-40.75,-14.83,-35.28,-4.0,,2.0,1.0,5.4,30.1,Technology,,,Information Technology Services,FIS,-0.11,,2.0,0.6055,29.7
,-3.0,2026-06-10T03:00:34.118668+00:00,,,,,,,,10.48,0.94,,-4.0,-1.0,SP500,45.0,-2.0,True,False,False,US,,11.1,,1.14,9.43,-29.6,-4.9,0.5294,35.28,,-65.02,-62.23,-9.73,-10.94,-3.0,,2.0,1.0,3.6,,,,,,FISV,0.85,,0,0.8661,55.71
,4.5,2026-06-10T03:00:34.118759+00:00,,,,6.87,,,,18.3,2.03,,2.5,-0.5,SP500,66.25,6.5,True,False,True,US,,9.0,-78.9,1.42,16.79,-77.4,24.5,1.0363,26.88,,34.84,47.83,0.98,15.96,2.0,,4.0,2.0,6.6,33.0,Financial Services,,,Banks - Regional,FITB,1.87,,1.0,1.0359,25.22
,0.5,2026-06-10T03:00:34.11885+00:00,,,39.02,6.68,,,,104.54,1.09,,4.5,1.5,SP500,41.25,-3.5,False,False,False,US,,95.7,38.8,101.07,53.42,12.0,8.3,2.5897,53.74,,288.3,452.43,29.11,93.18,4.0,,-8.0,-4.0,29.5,1.0,Industrials,,,Engineering & Construction,FIX,0.56,,-1.0,2.3413,53.09
