alpha_score,composite_score,computed_at,dii_1yr,dii_quarter,ev_ebitda,ev_sales,fii_1yr,fii_quarter,final_score,future_pe,future_peg,future_return,g_score,growth_score,index_group,irs_pct,irs_raw,loss_profit_qoq,loss_profit_ttm,loss_profit_yoy,market,market_cap_b,net_profit_ttm_1yr_growth,net_profit_yoy_growth,pb_ratio,pe_ratio,qoq_profit_growth,qoq_sales_growth,qtr_beta,qtr_std,rebalance_date,return_1yr,return_2yr,return_3m,return_6m,return_score,revenue_b,risk_eff_score,risk_score,sales_ttm_1yr_growth,sales_yoy_growth,sector,stocks_list,strategy_stocks,sub_sector,ticker,ttm_peg,ttm_revenue_b,valuation_score,yr_beta,yr_std
,2.0,2026-06-10T03:00:34.120863+00:00,,,9.91,4.39,,,,24.25,-2.25,,-2.0,-1.0,SP500,65.0,6.0,True,True,False,US,,-10.8,,0.85,27.19,-500.0,53.6,1.183,36.44,,-1.29,-24.75,-4.75,-2.39,-2.0,,8.0,4.0,-0.4,63.1,Industrials,,,Specialty Business Services,GPN,-2.52,,1.0,1.3295,38.33
,4.0,2026-06-10T03:00:34.120957+00:00,,,19.89,5.77,,,,31.28,1.75,,1.0,1.5,SP500,67.5,7.0,True,False,False,US,,17.9,21.5,4.92,26.53,-23.4,-17.5,1.2674,29.72,,18.44,50.99,-7.02,21.02,0.5,,6.0,3.0,15.1,14.2,Technology,,,Scientific & Technical Instruments,GRMN,1.48,,-1.0,1.3279,29.94
,0.0,2026-06-10T03:00:34.121104+00:00,,,19.9,3.34,,,,30.0,-2.83,,-1.0,-2.0,SP500,52.5,1.0,False,True,False,US,,-10.6,18.2,14.99,33.56,23.1,7.2,0.7887,24.08,,15.89,39.29,8.48,32.54,2.0,,2.0,1.0,4.5,10.1,Industrials,,,Industrial Distribution,GWW,-3.17,,-1.0,0.8759,24.81
,4.5,2026-06-10T03:00:34.121195+00:00,,,9.45,1.76,,,,11.21,-0.23,,3.5,-2.0,SP500,63.75,5.5,True,True,False,US,,-48.7,133.5,3.05,21.85,-21.7,-4.5,-0.343,32.31,,101.24,15.49,9.87,49.35,2.5,,2.0,1.0,-3.3,-0.3,Energy,,,Oil & Gas Equipment & Services,HAL,-0.45,,3.0,0.319,36.71
,0.0,2026-06-10T03:00:34.121285+00:00,,,11.62,3.07,,,,,,,-3.0,1.0,SP500,57.5,3.0,True,True,False,US,,-183.6,98.6,18.86,,-1.6,-30.8,0.8194,36.41,,32.57,53.52,-12.79,5.18,0,,6.0,3.0,13.7,12.7,Consumer Cyclical,,,Leisure,HAS,,,-4.0,0.9848,28.94
,2.0,2026-06-10T03:00:34.12141+00:00,,,,4.74,,,,14.03,1.0,,0.0,0.5,SP500,60.0,4.0,False,False,True,US,,14.0,-26.5,1.1,12.31,0.8,20.3,1.0064,24.52,,6.49,29.72,-4.04,-0.68,-0.5,,4.0,2.0,10.1,33.6,Financial Services,,,Banks - Regional,HBAN,0.88,,0,1.0011,25.72
,0.0,2026-06-10T03:00:34.121507+00:00,,,8.83,1.8,,,,15.61,0.88,,-1.5,-1.0,SP500,53.75,1.5,True,False,False,US,,17.8,10.9,,13.25,-13.7,-2.1,0.601,28.56,,2.2,19.98,-27.76,-23.35,-2.5,,3.0,1.5,7.1,4.3,Healthcare,,,Medical Care Facilities,HCA,0.74,,2.0,0.261,26.86
,-1.5,2026-06-10T03:00:34.121655+00:00,,,6.46,1.24,,,,11.43,0.49,,-0.5,0,SP500,43.75,-2.5,True,False,False,US,,23.3,41.4,1.91,9.27,-24.3,-0.4,0.3652,19.59,,0.68,33.74,-9.09,-4.41,-1.5,,-2.0,-1.0,6.4,6.1,Financial Services,,,Insurance - Diversified,HIG,0.4,,1.0,0.2442,18.45
,3.0,2026-06-10T03:00:34.121764+00:00,,,13.54,1.2,,,,22.68,2.27,,0.5,-0.5,SP500,63.75,5.5,True,False,False,US,,10.0,0.0,2.46,20.62,-6.3,-10.8,0.5259,35.94,,46.14,34.9,,,0.5,,5.0,2.5,8.2,13.4,Industrials,,,Aerospace & Defense,HII,2.06,,0.5,0.7131,34.33
,0.5,2026-06-10T03:00:34.121856+00:00,,,29.76,17.62,,,,48.76,-9.56,,-1.0,-1.0,SP500,55.0,2.0,False,True,False,US,,-5.1,35.0,,51.38,29.6,-4.9,1.2228,27.53,,36.25,72.58,,19.37,2.0,,3.0,1.5,7.7,11.0,Consumer Cyclical,,,Lodging,HLT,-10.07,,-2.0,0.8847,22.86
,-2.5,2026-06-10T03:00:34.121947+00:00,,,20.42,4.62,,,,30.91,-1.81,,-3.5,-3.0,SP500,46.25,-1.5,True,True,True,US,,-17.1,-41.9,10.86,37.28,-500.0,33.3,0.9667,24.9,,12.18,30.88,,23.77,0.5,,2.0,1.0,7.8,2.4,Industrials,,,Conglomerates,HON,-2.18,,-1.0,0.7369,21.93
,-4.5,2026-06-10T03:00:34.122037+00:00,,,,15.41,,,,49.46,1.48,,-0.5,1.0,SP500,28.75,-8.5,True,False,False,US,,33.5,2.7,8.21,37.05,-42.1,-16.8,3.0932,68.73,,32.67,302.37,7.69,-31.16,1.0,,-8.0,-4.0,51.6,15.1,Financial Services,,,Capital Markets,HOOD,1.11,,-2.5,3.2994,67.65
,-5.0,2026-06-10T03:00:34.122124+00:00,,,13.82,1.89,,,,,,,-1.0,-1.0,SP500,27.5,-9.0,False,True,True,US,,-97.8,-30.3,2.05,,158.3,-3.9,1.512,49.86,,121.96,121.49,73.77,76.33,4.0,,-8.0,-4.0,13.8,18.4,Technology,,,Communication Equipment,HPE,,,-4.0,1.8245,41.24
,0.0,2026-06-10T03:00:34.122215+00:00,,,6.98,0.55,,,,8.8,-0.99,,-1.0,-3.0,SP500,52.5,1.0,True,True,True,US,,-8.9,-1.7,,9.66,-31.4,-1.4,0.187,48.98,,5.31,-17.1,35.91,5.45,0,,2.0,1.0,3.2,6.9,Technology,,,Computer Hardware,HPQ,-1.09,,2.0,0.9568,37.58
,-2.5,2026-06-10T03:00:34.122311+00:00,,,9.25,0.92,,,,14.01,-0.35,,-3.0,-3.5,SP500,45.0,-2.0,True,True,True,US,,-40.6,-5.1,1.64,23.59,-423.9,-5.0,0.2778,34.53,,-18.47,-24.58,-3.6,4.0,-2.0,,1.0,0.5,1.6,-2.9,Consumer Defensive,,,Packaged Foods,HRL,-0.58,,2.5,0.0952,29.58
,-3.5,2026-06-10T03:00:34.122518+00:00,,,13.23,1.04,,,,23.33,11.11,,-5.0,-3.0,SP500,45.0,-2.0,False,False,False,US,,2.1,4.5,2.67,22.85,5.9,-2.0,0.8406,24.86,,6.03,8.81,-6.21,4.39,-1.0,,3.0,1.5,4.0,6.3,Healthcare,,,Medical Distribution,HSIC,10.88,,-1.0,0.7139,27.54
,6.0,2026-06-10T03:00:34.122617+00:00,,,12.03,3.25,,,,17.51,1.79,,4.0,-0.5,SP500,70.0,8.0,False,False,False,US,,9.8,105.3,2.34,15.95,265.9,2.6,1.0572,25.9,,58.77,45.73,19.43,36.68,3.5,,4.0,2.0,7.6,2.8,Real Estate,,,REIT - Hotel & Motel,HST,1.63,,1.0,0.9366,24.32
,0.5,2026-06-10T03:00:34.122711+00:00,,,19.8,3.73,,,,14.69,-0.24,,1.0,-0.5,SP500,50.0,0.0,False,True,False,US,,-60.2,93.6,8.44,36.9,36.0,0.4,0.0702,25.6,,25.8,8.26,-15.76,7.98,-1.0,,-1.0,-0.5,4.4,10.6,Consumer Defensive,,,Confectioners,HSY,-0.61,,2.5,-0.0031,26.93
,1.0,2026-06-10T03:00:34.122803+00:00,,,18.6,4.55,,,,32.63,2.35,,-2.0,-1.0,SP500,60.0,4.0,True,False,False,US,,13.9,12.5,6.65,28.65,-18.9,1.6,1.0348,34.98,,20.88,24.83,,,0,,6.0,3.0,3.8,11.1,Industrials,,,Electrical Equipment & Parts,HUBB,2.06,,-1.0,1.2567,28.49
,1.0,2026-06-10T03:00:34.122894+00:00,,,8.79,0.21,,,,32.15,-20.09,,0.5,-0.5,SP500,53.75,1.5,True,True,True,US,,-1.6,-4.6,1.99,32.67,-249.0,21.9,0.6739,43.65,,36.29,-8.1,65.67,28.53,2.0,,1.0,0.5,10.1,23.5,Healthcare,,,Healthcare Plans,HUM,-20.42,,-1.0,0.5208,48.51
,3.5,2026-06-10T03:00:34.122986+00:00,,,41.55,12.34,,,,78.2,2.56,,2.0,2.5,SP500,62.5,5.0,False,False,False,US,,30.6,71.4,18.87,59.88,55.9,6.7,1.6137,37.36,,53.14,210.77,-1.93,30.9,3.0,,3.0,1.5,11.1,19.1,Industrials,,,Aerospace & Defense,HWM,1.96,,-3.5,1.0915,30.58
,2.0,2026-06-10T03:00:34.123078+00:00,,,,-6.13,,,,46.48,1.53,,2.0,1.5,SP500,55.0,2.0,True,False,False,US,,30.3,22.9,6.63,35.67,-6.0,-3.4,2.1244,38.78,,59.65,162.85,,30.94,3.0,,0.0,0,9.7,16.8,Financial Services,,,Capital Markets,IBKR,1.18,,-2.5,2.0004,37.15
,4.5,2026-06-10T03:00:34.12317+00:00,,,18.45,4.45,,,,39.72,0.52,,1.5,0.5,SP500,68.75,7.5,True,False,False,US,,75.9,14.2,7.53,22.58,-78.3,-19.1,0.4908,40.63,,4.75,67.13,11.19,-12.43,0,,6.0,3.0,7.6,9.5,Technology,,,Information Technology Services,IBM,0.3,,1.0,1.0055,35.45
,-1.0,2026-06-10T03:00:34.12326+00:00,,,15.71,9.97,,,,25.99,1.27,,0.0,1.5,SP500,45.0,-2.0,False,False,False,US,,20.4,79.7,2.85,21.59,66.0,16.7,0.1876,21.64,,-15.96,15.06,-9.71,-4.92,-2.0,,-2.0,-1.0,7.5,20.4,Financial Services,,,Financial Data & Stock Exchanges,ICE,1.06,,0.5,0.3521,21.35
,-4.5,2026-06-10T03:00:34.12338+00:00,,,29.57,10.28,,,,48.3,2.5,,-4.0,0.5,SP500,37.5,-5.0,False,False,False,US,,19.3,17.2,28.2,40.49,12.2,4.6,1.181,30.61,,10.18,13.98,-10.79,-22.08,-1.5,,-1.0,-0.5,10.4,14.3,Healthcare,,,Diagnostics & Research,IDXX,2.1,,-3.0,1.3634,41.45
,-0.5,2026-06-10T03:00:34.123477+00:00,,,17.71,4.78,,,,30.0,-6.98,,-2.0,-1.0,SP500,52.5,1.0,True,True,False,US,,-4.3,27.8,3.85,31.35,-6.5,-1.4,1.0154,25.53,,17.09,4.29,-0.36,21.13,0,,3.0,1.5,5.8,8.9,Industrials,,,Specialty Industrial Machinery,IEX,-7.29,,-1.0,0.8584,25.71
,-2.0,2026-06-10T03:00:34.123568+00:00,,,13.76,2.4,,,,-33.17,0.14,,-1.5,-3.0,SP500,43.75,-2.5,False,True,False,US,,-237.3,,1.41,24.16,445.2,5.9,1.6673,49.7,,5.05,-14.1,-2.8,14.01,-1.0,,-1.0,-0.5,-5.2,-3.6,Basic Materials,,,Specialty Chemicals,IFF,-0.1,,2.5,0.8365,33.66
,7.5,2026-06-10T03:00:34.123659+00:00,,,10.01,2.89,,,,543.23,0.14,,5.0,3.5,SP500,75.0,10.0,False,False,False,US,,500.0,83.8,3.47,13.77,1.4,-15.5,1.0062,24.46,,47.64,71.29,-2.54,-4.45,1.0,,5.0,2.5,21.2,20.9,Healthcare,,,Biotechnology,INCY,0.0,,0.5,0.8774,32.29
,-6.0,2026-06-10T03:00:34.123748+00:00,,,44.69,11.78,,,,,,,-2.0,-2.0,SP500,25.0,-10.0,False,True,False,US,,-98.6,,5.45,,500.0,-0.7,3.2229,87.62,,496.99,303.77,165.69,202.15,4.0,,-8.0,-4.0,-0.5,7.2,Technology,,,Semiconductors,INTC,,,-4.0,2.4401,71.73
,-3.0,2026-06-10T03:00:34.123839+00:00,,,13.38,4.1,,,,24.5,0.8,,-0.5,1.0,SP500,36.25,-5.5,False,False,False,US,,30.6,10.7,4.56,18.76,342.1,84.0,-0.3874,62.9,,-58.33,-46.92,-25.08,-50.2,-4.0,,-5.0,-2.5,15.6,10.4,Technology,,,Software - Application,INTU,0.61,,2.5,0.4433,42.11
,-4.0,2026-06-10T03:00:34.123932+00:00,,,17.56,9.43,,,,40.05,1.36,,-3.0,-1.0,SP500,37.5,-5.0,False,False,True,US,,29.5,-3.7,1.92,30.93,11.0,7.1,0.436,20.69,,-8.54,-6.22,13.72,8.2,0,,-2.0,-1.0,4.2,9.2,Real Estate,,,REIT - Residential,INVH,1.05,,-2.0,0.273,20.62
,0.5,2026-06-10T03:00:34.124077+00:00,,,14.82,2.67,,,,22.3,-24.78,,-1.5,-1.5,SP500,56.25,2.5,True,True,False,US,,-0.9,15.0,4.86,22.5,-46.7,-4.9,0.9729,43.8,,28.41,-19.52,3.91,-20.74,-1.0,,4.0,2.0,5.9,8.4,Healthcare,,,Diagnostics & Research,IQV,-25.0,,1.0,1.2435,41.72
,5.5,2026-06-10T03:00:34.174733+00:00,,,23.49,7.94,,,,111.91,-5.68,,2.5,1.5,SP500,71.25,8.5,False,True,False,US,,-19.7,860.0,,139.37,60.9,5.0,1.4271,34.41,,34.23,72.42,15.89,55.99,3.0,,6.0,3.0,12.2,21.6,Real Estate,,,REIT - Specialty,IRM,-7.07,,-2.0,1.1859,31.54
,-3.0,2026-06-10T03:00:34.175059+00:00,,,37.48,13.76,,,,62.4,2.71,,-6.0,1.5,SP500,50.0,0.0,False,False,False,US,,23.0,18.8,8.59,50.73,3.4,-3.3,0.9935,32.15,,-23.77,6.33,-14.63,-25.33,-3.5,,6.0,3.0,20.5,23.0,Healthcare,,,Medical Instruments & Supplies,ISRG,2.21,,-4.0,0.9552,30.7
,-3.5,2026-06-10T03:00:34.17527+00:00,,,16.95,4.94,,,,20.45,-1.69,,-3.5,-3.0,SP500,41.25,-3.5,True,True,False,US,,-12.1,11.8,22.34,23.27,-2.8,-1.9,0.8995,21.71,,4.16,11.52,-13.72,2.16,-2.0,,0.0,0,0.9,4.6,Industrials,,,Specialty Industrial Machinery,ITW,-1.92,,1.5,0.6199,20.31
,-2.0,2026-06-10T03:00:34.175425+00:00,,,12.89,2.6,,,,,,,-1.5,-0.5,SP500,43.75,-2.5,True,True,False,US,,-136.4,35.0,1.28,,-125.3,3.1,1.6377,34.72,,96.9,101.39,8.23,15.6,3.0,,-1.0,-0.5,5.1,14.1,Financial Services,,,Asset Management,IVZ,,,-4.0,1.6808,34.6
,1.0,2026-06-10T03:00:34.175594+00:00,,,16.95,2.25,,,,44.01,9.17,,-2.5,-2.5,SP500,61.25,4.5,True,False,False,US,,4.8,27.4,7.15,41.99,-21.8,-1.3,1.2216,36.3,,96.54,79.82,17.65,52.21,4.0,,7.0,3.5,-0.7,4.6,Industrials,,,Integrated Freight & Logistics,JBHT,8.75,,-4.0,0.9241,38.04
,2.0,2026-06-10T03:00:34.175694+00:00,,,17.24,1.25,,,,23.66,-0.45,,6.0,0.5,SP500,45.0,-2.0,False,True,False,US,,-52.7,96.2,28.63,50.02,52.7,-0.3,2.3707,49.07,,116.03,211.07,39.26,73.27,4.0,,-8.0,-4.0,3.2,23.1,Technology,,,Electronic Components,JBL,-0.95,,1.5,1.9595,41.29
,4.0,2026-06-10T03:00:34.17579+00:00,,,21.28,3.76,,,,80.11,0.86,,1.5,1.0,SP500,66.25,6.5,False,False,False,US,,93.0,38.9,6.15,41.51,17.0,6.0,1.3533,30.81,,34.19,96.56,-6.11,18.82,1.5,,5.0,2.5,2.8,8.2,Industrials,,,Building Products & Equipment,JCI,0.45,,-1.0,0.9867,26.35
,-5.0,2026-06-10T03:00:34.175898+00:00,,,13.69,3.89,,,,22.75,1.17,,-4.0,-0.5,SP500,35.0,-6.0,True,False,False,US,,19.4,12.5,4.54,19.05,-1.4,2.7,-0.301,26.79,,-23.55,-13.68,-16.74,-21.26,-4.0,,-2.0,-1.0,7.2,8.7,Technology,,,Information Technology Services,JKHY,0.98,,0.5,0.1069,24.18
,0.5,2026-06-10T03:00:34.176002+00:00,,,17.15,6.11,,,,51.1,0.56,,2.0,0,SP500,47.5,-1.0,False,False,True,US,,90.6,-52.9,6.84,26.81,2.3,-2.0,0.2717,16.86,,54.03,69.12,-6.61,13.65,1.5,,-3.0,-1.5,6.0,9.9,Healthcare,,,Drug Manufacturers - General,JNJ,0.3,,0.5,0.0543,16.53
,-0.5,2026-06-10T03:00:34.176103+00:00,,,,3.19,,,,13.86,-5.78,,-1.0,-1.0,SP500,50.0,0.0,False,True,False,US,,-2.4,17.2,2.31,14.2,26.6,8.8,0.8423,21.39,,14.42,56.23,0.23,-3.02,0,,1.0,0.5,7.3,12.7,Financial Services,,,Banks - Diversified,JPM,-5.92,,0,1.0171,21.41
,0.5,2026-06-10T03:00:34.176202+00:00,,,17.38,4.56,,,,32.11,0.72,,0.5,0,SP500,51.25,0.5,True,False,True,US,,44.3,-47.7,1.62,22.25,-23.5,-11.6,0.2395,26.55,,-7.18,-5.29,1.12,8.47,-0.5,,0.0,0,8.2,9.4,Consumer Defensive,,,Beverages - Non-Alcoholic,KDP,0.5,,1.0,0.1321,27.78
,6.0,2026-06-10T03:00:34.176296+00:00,,,,5.7,,,,-149.61,0.12,,4.5,0.5,SP500,68.75,7.5,False,True,False,US,,-500.0,33.3,1.33,13.17,2.4,-1.4,0.8818,23.4,,38.08,66.05,3.07,17.03,2.0,,3.0,1.5,65.7,11.8,Financial Services,,,Banks - Regional,KEY,-0.01,,2.0,1.036,23.75
,2.0,2026-06-10T03:00:34.17643+00:00,,,38.33,9.58,,,,77.32,2.01,,2.0,1.5,SP500,55.0,2.0,False,False,False,US,,38.4,35.6,9.16,55.87,35.8,,1.735,38.43,,113.75,143.45,8.25,71.68,3.5,,0.0,0,8.0,31.5,Technology,,,Scientific & Technical Instruments,KEYS,1.45,,-3.0,1.7867,38.44
,-9.5,2026-06-10T03:00:34.17653+00:00,,,8.02,1.85,,,,,,,-8.5,-3.5,SP500,23.75,-10.5,False,True,False,US,,-313.0,13.6,0.69,,22.6,-4.8,0.1194,25.31,,-3.66,-21.16,1.51,,-1.0,,-2.0,-1.0,-3.5,0.8,Consumer Defensive,,,Packaged Foods,KHC,,,-4.0,0.0834,24.88
,1.5,2026-06-10T03:00:34.176628+00:00,,,18.75,11.38,,,,39.99,0.95,,2.5,0,SP500,51.25,0.5,False,False,False,US,,42.3,29.4,1.57,28.1,9.1,2.9,0.4807,16.01,,18.67,44.9,3.74,20.82,1.5,,-2.0,-1.0,5.1,4.0,Real Estate,,,REIT - Retail,KIM,0.66,,1.0,0.4136,17.8
,-2.0,2026-06-10T03:00:34.176721+00:00,,,,5.83,,,,24.66,-1.08,,-4.0,-3.0,SP500,50.0,0.0,True,True,False,US,,-22.9,,2.99,31.98,-64.6,-25.2,1.038,37.8,,-22.62,-7.76,3.98,-22.75,-2.0,,4.0,2.0,-11.2,-6.6,Financial Services,,,Asset Management,KKR,-1.4,,1.0,1.6396,36.7
,-1.5,2026-06-10T03:00:34.176814+00:00,,,43.24,19.32,,,,81.71,1.73,,2.5,1.5,SP500,36.25,-5.5,False,False,False,US,,47.1,11.8,43.21,55.55,4.8,3.6,2.5165,51.85,,150.66,153.52,25.74,67.01,4.0,,-8.0,-4.0,23.9,11.5,Technology,,,Semiconductor Equipment & Materials,KLAC,1.18,,-3.0,2.3286,45.64
,-2.5,2026-06-10T03:00:34.176944+00:00,,,11.91,2.41,,,,15.38,-0.75,,-2.5,-3.5,SP500,43.75,-2.5,False,True,False,US,,-20.6,17.9,18.51,19.37,33.3,2.0,0.7189,23.91,,-27.28,-15.48,-7.62,-5.46,-3.0,,0.0,0,-2.1,2.7,Consumer Defensive,,,Household & Personal Products,KMB,-0.94,,4.0,0.1129,24.74
,1.0,2026-06-10T03:00:34.177049+00:00,,,14.04,5.96,,,,25.06,1.47,,3.0,1.0,SP500,47.5,-1.0,True,False,False,US,,17.0,36.0,2.27,21.42,-2.0,7.1,-0.1167,21.1,,19.03,84.08,-4.97,19.16,1.5,,-4.0,-2.0,12.2,13.8,Energy,,,Oil & Gas Midstream,KMI,1.26,,0.5,-0.0073,20.24
,0.0,2026-06-10T03:00:34.17726+00:00,,,11.99,2.72,,,,29.97,0.7,,-1.0,-0.5,SP500,52.5,1.0,False,False,False,US,,42.7,46.9,3.19,21.0,43.6,3.4,0.5996,19.74,,-21.71,1.51,-5.49,4.86,-2.0,,2.0,1.0,-2.1,4.5,Consumer Defensive,,,Household & Personal Products,KVUE,0.49,,1.5,0.3028,32.6
,-3.5,2026-06-10T03:00:34.177444+00:00,,,9.61,1.33,,,,13.8,0.89,,-4.0,-2.0,SP500,42.5,-3.0,False,False,True,US,,15.5,-7.6,3.3,11.95,0.3,4.6,0.0514,28.85,,-9.93,-7.84,-26.47,-29.83,-3.0,,1.0,0.5,3.1,3.7,Technology,,,Information Technology Services,LDOS,0.77,,1.0,0.411,29.66
,-4.5,2026-06-10T03:00:34.177539+00:00,,,7.57,0.57,,,,6.91,-0.15,,-6.0,-4.0,SP500,42.5,-3.0,True,True,True,US,,-47.2,-52.6,1.01,13.08,-53.2,-29.3,1.5075,37.08,,-13.82,-37.81,-18.43,-30.41,-4.0,,3.0,1.5,-3.5,-13.3,Consumer Cyclical,,,Residential Construction,LEN,-0.28,,2.0,0.9152,37.32
,-3.5,2026-06-10T03:00:34.17769+00:00,,,35.72,5.96,,,,36.54,5.3,,-3.5,-1.0,SP500,41.25,-3.5,False,False,True,US,,6.9,-6.1,3.06,34.18,70.7,1.7,0.5129,26.33,,31.53,51.8,-16.54,15.99,0.5,,0.0,0,2.5,190.0,Industrials,,,Aerospace & Defense,LHX,4.95,,-3.0,0.36,24.11
,-2.0,2026-06-10T03:00:34.177786+00:00,,,16.64,3.65,,,,22.21,-31.73,,-4.0,-3.5,SP500,50.0,0.0,True,True,True,US,,-0.7,-7.7,14.25,22.37,-27.7,-5.0,1.8137,42.48,,-11.82,3.99,-11.52,2.11,-1.5,,4.0,2.0,-2.7,5.8,Industrials,,,Building Products & Equipment,LII,-31.96,,1.0,1.2917,34.77
,-6.0,2026-06-10T03:00:34.17788+00:00,,,18.84,7.39,,,,35.39,6.94,,-4.5,-2.0,SP500,31.25,-7.5,False,False,False,US,,5.1,13.4,6.02,33.67,21.4,0.2,0.091,19.33,,9.63,20.88,-1.11,24.16,0.5,,-3.0,-1.5,3.0,8.2,Basic Materials,,,Specialty Chemicals,LIN,6.6,,-3.0,0.2311,16.92
,1.5,2026-06-10T03:00:34.177974+00:00,,,121.56,24.85,,,,-7.46,0.07,,5.5,1.0,SP500,43.75,-2.5,False,True,False,US,,-104.7,,72.58,158.79,84.4,21.5,2.6965,105.62,,1041.25,1881.63,9.88,170.69,3.5,,-8.0,-4.0,21.0,90.1,Technology,,,Communication Equipment,LITE,-1.52,,1.0,2.629,84.2
,8.5,2026-06-10T03:00:34.178071+00:00,,,28.8,14.44,,,,74.96,0.79,,5.5,4.0,SP500,78.75,11.5,False,False,False,US,,94.9,169.9,32.27,38.46,11.4,2.6,0.9174,37.67,,57.05,40.79,10.88,6.88,2.0,,6.0,3.0,44.7,55.5,Healthcare,,,Drug Manufacturers - General,LLY,0.41,,-0.5,0.57,37.91
,-3.0,2026-06-10T03:00:34.178168+00:00,,,17.84,1.9,,,,24.44,-4.07,,-2.5,-3.0,SP500,41.25,-3.5,False,True,True,US,,-6.0,-11.5,16.5,26.0,10.7,-11.3,0.1228,25.3,,16.51,25.1,-20.61,22.96,-0.5,,-1.0,-0.5,5.6,0.3,Industrials,,,Aerospace & Defense,LMT,-4.33,,1.0,0.0864,26.58
,-2.0,2026-06-10T03:00:34.178265+00:00,,,16.36,6.87,,,,26.64,1.53,,-0.5,-1.0,SP500,41.25,-3.5,False,False,False,US,,17.4,4.9,2.51,22.69,57.7,11.3,0.1381,16.97,,20.34,55.94,0.53,8.43,0.5,,-3.0,-1.5,9.6,5.0,Utilities,,,Utilities - Regulated Electric,LNT,1.3,,0,0.0108,15.13
,-1.0,2026-06-10T03:00:34.178396+00:00,,,12.98,1.85,,,,17.5,-3.98,,-3.0,-2.5,SP500,52.5,1.0,True,True,True,US,,-4.4,-0.7,,18.31,-0.8,,1.2327,29.65,,-1.21,5.66,-14.86,-10.73,-2.5,,4.0,2.0,3.1,10.3,Consumer Cyclical,,,Home Improvement Retail,LOW,-4.16,,2.0,0.8159,25.56
,0.0,2026-06-10T03:00:34.178505+00:00,,,50.55,18.3,,,,84.32,2.11,,4.0,3.0,SP500,40.0,-4.0,False,False,False,US,,40.0,40.8,37.57,60.23,14.5,9.3,3.1847,59.88,,280.62,239.76,37.83,106.02,4.0,,-8.0,-4.0,23.7,23.8,Technology,,,Semiconductor Equipment & Materials,LRCX,1.51,,-3.0,2.7698,50.02
,-5.5,2026-06-10T03:00:34.1786+00:00,,,5.61,1.37,,,,8.6,-0.66,,-5.5,-3.5,SP500,36.25,-5.5,False,True,True,US,,-13.0,-18.5,3.08,9.88,91.3,41.9,1.3948,44.3,,-58.58,-56.01,-25.45,-28.0,-4.0,,0.0,0,4.9,0.8,Consumer Cyclical,,,Apparel Retail,LULU,-0.76,,2.0,1.4537,47.82
,-2.0,2026-06-10T03:00:34.178706+00:00,,,10.95,0.84,,,,27.37,-5.26,,2.0,-1.0,SP500,35.0,-6.0,True,True,False,US,,-5.2,,3.08,28.87,-29.7,-2.6,2.475,48.87,,31.07,77.33,-9.89,25.64,2.0,,-8.0,-4.0,2.1,12.8,Industrials,,,Airlines,LUV,-5.55,,1.0,1.5761,44.39
,5.5,2026-06-10T03:00:34.178801+00:00,,,9.67,3.4,,,,21.22,1.7,,2.0,2.0,SP500,72.5,9.0,False,False,False,US,,12.5,73.0,28.28,18.86,43.5,-1.8,1.0615,29.89,,26.48,21.35,-8.79,-25.64,-1.0,,7.0,3.5,15.2,25.3,Consumer Cyclical,,,Resorts & Casinos,LVS,1.51,,1.0,0.9466,36.04
,-4.0,2026-06-10T03:00:34.203078+00:00,,,,,,,,,,,-4.0,0,SP500,40.0,-4.0,False,False,False,US,,,,,,,,,,,,,,,0,,0.0,0,,,,,,,ZTS,,,-4.0,,
,0,2026-06-10T03:00:34.204024+00:00,,,,,,,,,,,0,0,SP500,50.0,0.0,False,False,False,US,,,,,,,,,,,,,,,0,,0.0,0,,,,,,,NAN,,,0,,
-2.0,-4.0,2026-06-10T03:00:34.622117+00:00,1.09,0.14,21.817,13.495,-0.65,-0.36,-4.0,34.73,3.47,,-3.5,-1.0,NIFTY200,38.75,-4.5,False,False,False,IN,,10.0,2.88,4.4977,38.2,3.81,7.56,1.0371,2.13,,3.25,,-6.54,-11.88,-1.0,,-1.0,-0.5,22.0,3.79,Financial Services,,,Stockbroking & Allied,360ONE.NS,3.82,,-1.5,1.1026,1.97
0.0,-1.5,2026-06-10T03:00:34.622156+00:00,0.25,-0.06,38.9,7.529,-0.26,0.02,-1.5,47.24,2.05,,-2.0,-0.5,NIFTY200,47.5,-1.0,True,False,False,IN,,23.0,27.21,22.8285,58.1,-9.25,-4.38,1.0195,2.3,,11.11,,-2.04,9.75,0.5,,1.0,0.5,3.0,4.68,Diversified,,,Diversified,3MINDIA.NS,2.53,,-2.0,0.9568,1.85
-0.5,0.0,2026-06-10T03:00:34.62218+00:00,2.27,0.13,76.071,11.724,-2.08,0.55,0.0,102.02,-9.27,,-0.5,-3.0,NIFTY200,51.25,0.5,False,True,True,IN,,-11.0,-31.03,19.8184,90.8,5.87,7.43,0.9911,2.39,,29.86,,56.11,41.45,2.5,,1.0,0.5,8.0,6.76,Capital Goods,,,Heavy Electrical Equipment,ABB.NS,-8.25,,0.0,1.0567,1.67
